from,to,population
Qajar Dynasty,Pahlavi Dynasty,16545619.291698486
Sokoto Caliphate,British Africa,16508605.294042349
French Africa,Republic of Côte d'Ivoire,16436651.094673157
Carnatic Sultanate,British Empire,16031617.356100082
Satavahana Dynasty,Stateless & unmapped,15649842.085176626
German Democratic Republic,Federated Republic of Germany,15580486.006688595
Argentine Confederation,Argentine Republic,15316160.302259013
Holy Roman Empire,Holy Roman Empire Minor States,15309820.284266949
Vakataka Kingdom,Stateless & unmapped,15146458.102738976
Tughlaq Dynasty,Jaunpur Sultanate,15125485.163085938
(Netherlands),Netherlands,14976706.508850098
Second Syrian Republic,Syria,14918296.235615969
Union of Soviet Socialist Republics,Kazakhstan,14746408.08572495
French Africa,Madagascar,14624181.538957
Hyderabad State,British Empire,14581446.92630294
Stateless & unmapped,Gahadavala Dynasty,14496436.566757202
Gahadavala Dynasty,(Delhi Sultanate),14496013.815551758
Roman Empire,Eastern Roman Empire,14333012.732259069
Stateless & unmapped,(Delhi Sultanate),14327170.652031973
Joseon,Korean Empire,14305452.869815826
Magadha - Haryanka dynasty,Magadha - Shaishunaga dynasty,14275051.568000745
Ptolemaic Kingdom,Macedonian Empire,14249950.639269626
North Yemen,Republic of Yemen,14236099.40302211
Vijayanagara Empire,Stateless & unmapped,14103256.145699859
Muhammad Ali dynasty,British Africa,14072299.257840727
Tsardom of Russia,Russian Empire,13727833.353963803
Mughal Empire,British Empire,13711374.811096191
Federated Republic of Mexico,Mexico,13687434.337374263
Estado Novo,People's Republic of Angola,13658210.342945755
Stateless & unmapped,Lodi Dynasty,13622670.029843032
Sena Dynasty,(Delhi Sultanate),13500656.462489605
German Empire,Union of Soviet Socialist Republics,13292107.081928253
Stateless & unmapped,Roman Republic,13249393.220178517
Mughal Empire,Hyderabad State,13222834.302953675
Durrani Empire,British Empire,13035992.682380557
Ghaznavid Empire,Ghurid Dynasty,12749561.668964736
Jaunpur Sultanate,Lodi Dynasty,12744824.923339844
Western Chalukya Empire,Yadava Dynasty,12718786.374272346
Kingdom of England,Kingdom of Great Britain,12465324.082725048
British Colonial Empire,Canada,12437032.280806765
French Indochina,Kingdom of Cambodia,12412598.763059437
British Africa,Republic of Zimbabwe,12363757.733666778
French Africa,Burkina Faso,12343381.47512436
French Africa,Republic of Cameroon,12321356.368185997
Yadava Dynasty,Tughlaq Dynasty,12201391.870546341
Stateless & unmapped,Magadha - Haryanka dynasty,12200908.918966945
Bijapur Sultanate,Mughal Empire,12169849.643706083
(Holy Roman Empire),Holy Roman Empire,12068136.641408235
Eastern Wei,Sui Dynasty,11980628.825812578
Republic of Sudan,South Sudan,11753166.665885925
Han Dynasty,Eastern Wu,11690601.321766306
Stateless & unmapped,Vakataka Kingdom,11662995.981807292
Achaemenid Empire,Ptolemaic Kingdom,11652287.938582603
Stateless & unmapped,Chola Empire,11594486.523752332
Western Satraps,Gupta Empire,11437570.2615619
Ashikaga Shogunate,Warring States Japan,11394943.990928411
French Africa,Mali Federation,11329628.61115551
Chola Empire,Pandya Empire,11229349.474511445
Stateless & unmapped,Spanish Empire,11178699.576015703
Tughlaq Dynasty,Bahmani Sultanate,11145407.246776938
British Africa,South Africa,11124806.224938571
Republic of Cuba,Communist Cuba,11091148.045612454
Chu,Han Dynasty,10993393.910963152
Liao Dynasty,Great Jin,10792962.888517931
French Africa,Republic of the Niger,10716210.951167166
(Habsburg Monarchy),Hungarian Nationalists,10679437.283496857
Stateless & unmapped,Nanda Empire,10664008.962510055
Estado Novo,Portugal,10599350.30034256
Northern Wei,Eastern Wei,10591306.159645736
White Huns,Stateless & unmapped,10564378.568026103
Kingdom of Prussia,German Confederation,10551384.455320597
Kannauj-Varman Dynasty,Stateless & unmapped,10385249.004382715
Stateless & unmapped,Late Pallava Empire,10232113.935216844
British Africa,Malawi,10229920.094476461
Pandya Empire,Vijayanagara Empire,10218995.699207783
Union of Soviet Socialist Republics,Republic of Belarus,10118499.762698174
United Principalities of Moldavia and Wallachia,Socialist Republic of Romania,10043302.637781382
(Kingdom of England),Kingdom of England,10028124.06567216
Stateless & unmapped,Han Dynasty,9990596.079158574
Tang Dynasty,Later Han,9982665.651762728
Spanish Empire,United States of America,9857270.870978266
Ghurid Dynasty,(Delhi Sultanate),9784143.335911006
Austrian Empire,Kingdom of Italy,9716123.486160636
British Africa,Zambia,9680760.557264686
Maurya Empire,Satavahana Dynasty,9623608.928551514
Stateless & unmapped,Sokoto Caliphate,9608402.498083591
Later Han,Northern Song,9601371.536270097
Netherlands,(Netherlands),9553455.954109192
Czechoslovakia,Czech Republic,9529200.082849264
Korean Empire,Democratic People's Republic of Korea,9500105.784418583
Gupta Empire,White Huns,9434722.472254753
British Raj,Burma,9366728.626629114
Austria-Hungary,Czechoslovakia,9349713.737524033
Stateless & unmapped,Magadha - Shaishunaga dynasty,9327396.790248636
Hungarian Nationalists,Hungary,9299638.102584839
Han Dynasty,Cao Wei,9193563.501985162
Satavahana Dynasty,Western Satraps,9056597.926628113
Spanish Empire,Federated Republic of Mexico,9014368.954646781
(Habsburg Monarchy),Habsburg Monarchy,8930970.054285377
Kingdom of Greece,Third Hellenic Republic,8829567.108761907
French Africa,Republic of Senegal,8734635.343093872
Golconda Sultanate,Mughal Empire,8693973.51680994
Kingdom of the Two Sicilies,Kingdom of Italy,8643552.962779999
Kingdom of Spain,Habsburg Monarchy,8543965.970293611
Stateless & unmapped,Ethiopian Empire,8531243.79558631
Austria-Hungary,Socialist Federal Republic of Yugoslavia,8507782.826218128
Stateless & unmapped,Durrani Empire,8451583.55148533
Belgian Congo,Republic of Rwanda,8441011.999366283
Stateless & unmapped,Greco-Bactrian Kingdom,8408409.580264794
French Africa,Republic of Chad,8393614.722532392
Pala Empire,Sena Dynasty,8371115.136171341
French Africa,Guinea,8267345.059274614
Emirate of Afghanistan,Kingdom of Afghanistan,8196080.32392475
British Raj,Sri Lanka,8160799.317209244
French Africa,Republic of Tunisia,8096864.882100105
Mongol Empire,Ilkhanate,8016595.493326217
Cao Wei,Western Jin,8002247.932601027
Stateless & unmapped,German Africa,7996129.725828484
Stateless & unmapped,Belgian Congo,7976819.543325633
Eastern Wu,Western Jin,7939193.901027724
Empire of Japan,Republic of China,7846649.894553423
Syria,Mujahideen,7788902.376832843
Portuguese Empire,Empire of Brazil,7719902.483969592
Socialist Federal Republic of Yugoslavia,Serbia-Montenegro,7684633.897525787
Kamakura Shogunate,Ashikaga Shogunate,7683816.597330451
People's Republic of Bulgaria,Republic of Bulgaria,7680488.412539601
Kingdom of Bavaria,German Empire,7640204.18850708
Eastern Roman Empire,Rashidun Caliphate,7565026.9090958685
