from,to,population
Kingdom of the Franks,Duchy of Thuringia,323551.8602294922
Xiongnu,Xianbei,323372.81215047836
Jin,Han,322578.11897192005
Sabaeans,Kingdom of Axum,322253.00047683716
Barghawata Conference,Almoravid Dynasty,321845.94539642334
Hubaekje,Goryeo,319821.6583251953
Carantania,Bavarians,319721.5565261841
Byzantine Empire,Papal States,319289.2678222656
Stateless & unmapped,Southern Song,318894.6216888428
Kingdom of Bosnia,Ottoman Empire,318871.9167175293
Hoysala Kingdom,Kakatiya Dynasty,318626.2926992774
Kingdom of France,House of Bourbon,318018.93713378906
Portuguese Ceylon,Portuguese Colonies,317551.66884599626
Ceylon,Portuguese Empire,316977.85637283325
Ottoman Empire,United Principalities of Moldavia and Wallachia,316178.81623363495
Stateless & unmapped,Berar Sultanate,316076.0827636719
Kamarupa Kingdom,Pala Empire,315944.9262084961
(Holy Roman Empire),Swedish Empire,315693.0748757832
Emirate of Nejd,Ottoman Empire,315679.7222876549
Qasimids,Stateless & unmapped,314540.6585843563
Later Zhao,Later Yan,313952.268157959
Indo-Sasanian Empire,Sasanian Empire,313942.80635386705
Yadava Dynasty,Vijayanagara Empire,313600.1449279785
Upper Burgundy,Kingdom of France,312508.7132720947
Sultanate of Rum,Beylik of Karaman,312497.6376392469
Empire of Trebizond,Ottoman Empire,311994.8540802002
Seleucid Empire,Greek City-States,311514.36874870345
Samtskhe-Saatabago,Ottoman Empire,311445.97408361733
House of Valois-Anjou,County of Maine,311343.2592163086
Hamdanid Emirates,Kingdom of Jerusalem,310906.0729342103
Stateless & unmapped,Kingdom of Lunda,310223.4912608862
Qing Dynasty,Konbaung Dynasty,310072.66443920135
Ostrogothic Kingdom,Kingdom of Italy,309116.0128124207
Vandal Kingdom,Ostrogothic Kingdom,308831.9545288086
Stateless & unmapped,English Colonial Empire,308672.1287151985
(Kingdom of England),County of Périgord,308468.1671600342
Carthage,Greek City-States,308233.731137085
Zhou Dynasty,Song,308033.80619224906
Shirvan,Safavid Dynasty,307818.5990449488
Kingdom of Prussia,French Consulate,307280.58642578125
Stateless & unmapped,Yuezhi,306101.09563849383
Capetian House of Anjou,House of Valois-Anjou,306072.6624069214
Kingdom of Spain,Duchy of Parma and Piacenza,306054.8626861572
Unified Silla,Hubaekje,306008.5271911621
Qi,Jin,305855.27770159254
Samo's Empire,Carantania,305768.4970779419
Kingdom of England,Stateless & unmapped,305396.5785293579
Hamdanid Emirates,Stateless & unmapped,305011.0914514065
County of Rouergue,County of Toulouse,304969.408493042
Golden Horde,Oirat Confederation,304735.4437160231
Kievan Rus',Principality of Rostov-Suzdal,303891.64746561646
Sultanate of Johor,British Colonial Empire,303449.84466421604
Stateless & unmapped,Mycenaean Greece,303311.73082139343
Byzantine Empire,Duchy of Athens,303113.8208999634
Khanate of Khiva,Russian Empire,302898.45520457625
British Cape Colony,Napoleonic Batavia Republic,302640.87929682434
Emirate of Córdoba,Kingdom of León,302593.9009361267
Khmer Empire,Sukhothai Kingdom,302284.45336675644
Grand Duchy of Lithuania,Crimean Khanate,302085.5106572844
Kingdom of Jerusalem,Mamluk Sultanate,300932.6938018799
Assyrian Egypt,Stateless & unmapped,300661.55455346126
First Bulgarian Empire,Stateless & unmapped,300250.5307182893
Qi,Chu,299596.6779785156
County of Armagnac,Kingdom of France,298391.9360961914
Stateless & unmapped,Western Chalukya Empire,297999.9844017029
Babylonia,Neo-Assyrian Empire,297005.73437368276
West Franks,Upper Burgundy,295873.0876312256
Kingdom of Lunda,Belgian Congo,295377.8216085434
Surakarta Sunanate,Dutch East Indies,295344.9832763672
Kingdom of Kakheti,Kingdom of Georgia,295161.0230870247
Ottoman Empire,Montenegro,294844.48252010345
Stateless & unmapped,Western Xia,294453.8299142532
Janapada of Malla,Magadha - Haryanka dynasty,294062.4919189454
Spanish Empire,Republic of Nicaragua,293833.0863945484
Stateless & unmapped,Principality of Serbia,293411.5856895447
Stateless & unmapped,Pyu City-States,293045.07426834106
Tsardom of Russia,Swedish Empire,292835.8458025679
Stateless & unmapped,Nawabs of Bengal,292199.45805358887
Rashidun Caliphate,Turk Shahis,292072.397908479
Denmark-Norway,Swedish Empire,291929.7377505745
Stateless & unmapped,Kingdom of the Franks,291350.99536015093
Omani Slave Coast,German Africa,291305.3596358299
Beylik of Dulkadir,Ottoman Empire,290393.0375366211
Sultanate of Banjar,Dutch East Indies,290047.6860996485
Stateless & unmapped,(Macedonian Empire),289824.53331045376
Parthian Empire,Indo-Scythians,289173.8533462696
Baekje,Unified Silla,288191.340675354
First Toungoo Empire,Qing Dynasty,287749.0387458801
Western Qin,Northern Wei,287422.11453819275
Prome Kingdom,First Toungoo Empire,287070.46687316895
Nogai Horde,Tsardom of Russia,286820.47064104676
Holy Roman Empire Minor States,Kingdom of France,286700.26330566406
Blue Horde,Khanate of Kazan,286131.0731107481
(Holy Roman Empire),Kingdom of Spain,284633.65768003464
House of Wittelsbach,Margraviate of Brandenburg,284556.8530578613
Stateless & unmapped,Anurādhapura,283529.79815356806
Blue Horde,Nogai Horde,283342.762818791
Principality of Pereyaslavl,Mongol Empire,282703.7670381367
Byzantine Empire,Kingdom of Italy,282033.1069686413
Principality of Volhynia,Mongol Empire,281733.6521062851
Principality of Reuss-Gera,German Empire,281623.0614013672
Duchy of Bavaria,Margraviate of Brandenburg,281605.8003845215
Stateless & unmapped,Holy Roman Empire,281148.6444015503
(Holy Roman Empire),(Habsburg Monarchy),280887.36630249023
Republic of Genoa,Ligurian Republic,280765.7423095703
Stateless & unmapped,Wadai Empire,280277.32049468905
Stateless & unmapped,Kingdom of Asturias,279595.6257670522
Principality of Kiev,Mongol Empire,279594.5225973129
West Franks,Kingdom of France,279243.6732330322
Mamluk Sultanate,Ilkhanate,279200.9883117676
Ayutthaya Kingdom,Konbaung Dynasty,277932.22174263
Carthage,Mauretania,277852.8703536987
Saxe-Altenburg,German Empire,276525.3830566406
Malaya,Majapahit,275844.01395893097
Qarlugs,Kara-Khanids,275535.2472423762
Parthian Empire,Kingdom of Armenia,275037.54418540315
Karkota Dynasty,Stateless & unmapped,274862.74307432026
Great Yuan,Kushan Empire,274738.7056674957
Holy Roman Empire Minor States,Saxe-Meiningen,274712.4909667969
Danelaw,Kingdom of England,274673.8536128998
West Franks,Kingdom of Brittany,273893.22540283203
Austria-Hungary,Socialist Republic of Romania,273387.69598960876
Scandinavian minor kingdoms,Kingdom of Sweden,273043.1431542896
Maitraka Dynasty,Chalukya Dynasty,272925.681640625
Kingdom of Armenia,Parthian Empire,272540.863898728
Kannauj-Varman Dynasty,Kashmir,272509.5774721205
Swaziland,British Africa,272120.826007843
Holy Roman Empire Minor States,Duchy of Oldenburg,271963.1543121338
(Kingdom of Poland),Duchy of Masovia,271560.8148384094
Stateless & unmapped,Assyrian Egypt,271424.99696085
Grand Principality of Serbia,Kingdom of Serbia,270524.9062194824
Kievan Rus',Principality of Kiev,269829.32839488983
Sumerian City-States,Babylonia,269449.07275247574
Stateless & unmapped,Yarubid dynasty,269341.3225552514
Democratic People's Republic of Korea,Republic of Korea,269221.9465956688
Holy Roman Empire Minor States,Duchy of Anhalt,268416.5734863281
Jalayirid Sultanate,Aq Qoyunlu,268290.8076515198
Vakataka Kingdom,Maitraka Dynasty,268215.68225097656
Chagatai Khanate,Eastern Chagatai Khanate,268151.63844873756
Goguryeo,Silla,268118.7570114136
Janapada of Cedī,Magadha - Haryanka dynasty,268056.83566894534
Taifa of Valencia,Crown of Aragon,267288.82736206055
Duchy of Athens,Catalan Company,266861.8709945679
Goths,Stateless & unmapped,266800.3955634162
British Colonial Empire,Solomon Islands,266658.2888314724
Republic of Genoa,Kingdom of Spain,266514.92807006836
Stateless & unmapped,Janapada of Malla,266145.1665527344
Second Bulgarian Empire,Stateless & unmapped,266097.07462513447
Breton Kingdoms,Kingdom of Brittany,265667.67140960693
Electorate of Trier,Duchy of Bavaria,265663.6728820801
Southern Ming,First Toungoo Empire,265118.70049858093
Abbasid Caliphate,Bagratid Armenia,264505.3688261211
Tümed,Khoshut Khanate,264069.4570944458
Old Great Bulgaria,Khazaria,263997.4660401121
West Franks,County of Vermandois,263087.1848144531
Neo-Babylonian Empire,Stateless & unmapped,263011.7670012624
Tang Dynasty,Ngô Dynasty,262894.56297796965
Sultanate of Selangor,British Colonial Empire,262802.9232854843
Janapada of Kosala,Magadha - Haryanka dynasty,261782.68947143553
County of Flanders,Kingdom of France,261644.1631011963
Banate of Bosnia,Kingdom of Bosnia,261307.93661499023
French Consulate,Republic of Baden,260897.6884613037
Duchy of Sandomierz,Kingdom of Poland,260728.049118042
Kingdom of Aragon,Crown of Aragon,260278.5693206787
Muzaffarids,Timurid Empire,260225.5477772653
Stateless & unmapped,Tang Dynasty,259973.8571775034
French Africa,British Africa,259753.50186258554
Ottoman Empire,Kingdom of Great Britain,259384.87450993806
Rustamid dynasty,Stateless & unmapped,258915.31733375788
Ilkhanate,Beylik of Dulkadir,258613.08828353882
Ganzhou Kingdom,Western Xia,258260.6950289309
Classic Veracruz Culture,Stateless & unmapped,258042.5620880127
Sultanate of Johor,Riau-Lingga Sultanate,257828.5970747471
Etruscans,Roman Republic,257722.79220784307
Swedish Empire,Electorate of Hanover,257204.26020812988
Stateless & unmapped,Huns,256769.71398768574
West Franks,County of Rouergue,256137.91785430908
Ava Kingdom,Prome Kingdom,256058.62286376953
Stateless & unmapped,Republic of Turkey,256027.13110351562
Kingdom of Gwynedd,Kingdom of England,255424.94273757935
Duchy of Prussia,Brandenburg-Prussia,254801.6249945797
Stateless & unmapped,Minaeans,254637.7649047375
Mitanni,Assyria,254513.45192432404
Utpala Dynasty,Lohara Dynasty,254306.05999478698
Early Lý Dynasty,Tang Dynasty,253912.43665003777
Abbasid Caliphate,Shirvan,253110.52367525548
Stateless & unmapped,Ripuarian Franks,252997.78535645083
Stateless & unmapped,Sultanate of Johor,252801.24006330967
Umayyad Caliphate,Kingdom of the Franks,252635.16277313232
Land Chenla,Khmer Empire,252574.8872566223
Great Moravia,Duchy of Bohemia,252563.26328277588
Byzantine Empire,Empire of Trebizond,252369.62549209595
Zengid dynasty,Ilkhanate,252362.5905532837
Sasanian Empire,Stateless & unmapped,251627.74848671444
Ilkhanate,Muzaffarids,251551.362521898
Greco-Bactrian Kingdom,Great Yuan,250759.54339961975
Kingdom of Kakheti,Ottoman Empire,249418.7741599083
Tabal Kingdom,Neo-Assyrian Empire,248807.69892578718
Don Cossacks,Astrakhan Khanate,248788.9354911968
Stateless & unmapped,British Cape Colony,248369.6383961588
Lavo Kingdom,Sukhothai Kingdom,248368.3765566349
Neo-Hittite states,Neo-Assyrian Empire,248326.62521042823
Kingdom of the Two Sicilies,Stateless & unmapped,247044.564453125
Ptolemaic Kingdom,Stateless & unmapped,246802.0015603472
Emirate of Diriyah,Emirate of Nejd,246630.418674469
Crown of Aragon,Ottoman Empire,246362.41520786285
French Africa,Republic of Djibouti,246125.61932373047
West Franks,County of Toulouse,245698.8522491455
Free City of Lübeck,German Empire,245680.85372924805
Ilkhanate,Shirvan,245486.57767429948
Yue,Minyue,245228.24734802256
Stateless & unmapped,Parthian Empire,244517.10093952419
East Franks,Kingdom of Croatia,244292.6655845642
Warring States Japan,Stateless & unmapped,244106.10661315918
Rouran Khaganate,Goguryeo,243666.30534362793
Stateless & unmapped,Sabaeans,242999.14039998033
Taifa of Toledo,Almoravid Dynasty,242896.038143754
Stateless & unmapped,Janapada of Cedī,242608.4019042969
Timurid Empire,Shaybanids,242592.62278997898
Stateless & unmapped,Goths,242452.75318418443
Kingdom of Prussia,Kingdom of Hanover,242126.49955749512
Stateless & unmapped,Kingdom of Janggala,240915.85843276978
Taifa of Badajoz,Almoravid Dynasty,240759.6096496582
Byzantine Empire,County of Edessa,240592.03856277466
Stateless & unmapped,Russian Federation,239808.61811733246
Stateless & unmapped,Tabal Kingdom,238669.04616698614
Germiyanids,Aq Qoyunlu,238661.67674064636
Taifa of Toledo,Kingdom of León,238473.5567086935
Habsburg Monarchy,Iberian Union,238096.75201416016
Duchy of Bavaria,Electorate of Trier,237198.80073547363
Stateless & unmapped,Janapada of Kosala,236929.9026123047
Teutonic Order,House of Jagiellon,236804.62973366678
Chenla,Land Chenla,236772.26036691666
English Colonial Empire,Stateless & unmapped,236591.1287624836
Stateless & unmapped,Kingdom of Saudi Arabia,236443.19706350565
Stateless & unmapped,Brythons,236290.4428744316
Holy Roman Empire,County of Savoy,236193.92606443167
Southern Qi,Early Lý Dynasty,236066.741204679
Duchy of Bavaria,Duchy of Burgundy,235726.8253353685
Portuguese Empire,Yarubid dynasty,235675.919359684
Duchy of Burgundy,County of Nevers,234980.87001037598
Sultanate of Terengganu,British Colonial Empire,234926.09150791168
Khoshut Khanate,Qing Dynasty,234899.97858723998
Habsburg Monarchy,Electorate of Saxony,234386.84535217285
Republic of Venice,Crown of Aragon,234044.29412913322
British Empire,Stateless & unmapped,233749.94299471378
Bagratid Armenia,Byzantine Empire,232701.18003883213
Haudenosaunee,United States of America,232696.1254544258
Toltec,Stateless & unmapped,232613.85247802734
Kingdom of Mercia,Kingdom of Wessex,232233.41766548157
Stateless & unmapped,Sultanate of Malacca,231891.78465795517
Kingdom of Syrmia,Kingdom of Serbia,231662.85068511963
Janapada of Kuru,Stateless & unmapped,231423.36157226565
Sajid Dynasty,Hamdanid Emirates,231213.00262693316
West Franks,County of Champagne,231164.36358642578
County of Touraine,House of Bourbon,231079.4253540039
Parthian Empire,Kingdom of Osroene,230731.49381697775
Stateless & unmapped,Massina Empire,230164.1493291855
Kingdom of Georgia,Ottoman Empire,229659.44014167786
Duchy of Greater Poland,Kingdom of Poland,229273.66679286957
Habsburg Monarchy,Kingdom of France,229140.64852905273
Kingdom of France,Kingdom of Spain,229012.69134521484
Dutch Republic,Stateless & unmapped,228493.65196228027
Earldom of Desmond,Stateless & unmapped,228281.0218963623
Ilkhanate,Sind-Samma Dynasty,228271.41458511353
Kingdom of France,(Habsburg Monarchy),228216.22045898438
Stateless & unmapped,Republic of Korea,227881.30419921875
Safavid Dynasty,Kingdom of Kakheti,227603.25604343414
Stateless & unmapped,Assyria,226999.36666965485
Stateless & unmapped,(Kingdom of Denmark),226781.81517201662
Stateless & unmapped,Don Cossacks,226072.0162844658
Stateless & unmapped,Kalmyk Khanate,225774.76049917564
Tümed,Qing Dynasty,225046.8486179784
Shirvan,Mongol Empire,224997.20370712876
Principality of Minsk,Grand Duchy of Lithuania,224829.80916063488
Giudicato of Arborea,Crown of Aragon,224677.05641126633
British Colonial Empire,Belize,224591.8423013687
Hittites,Neo-Hittite states,224398.9666532278
Kingdom of Georgia,Samtskhe-Saatabago,224040.23618736863
Former Liang,Western Qin,223987.0475730896
British Raj,French Indochina,223830.359375
Kingdom of Navarre,Crown of Castile,223365.37741088867
Stateless & unmapped,Barghawata Conference,223038.5497341156
Kingdom of Spain,Republic of Genoa,222927.2325439453
Jesuit Reducciones,Spanish Empire,222747.69016635418
Stateless & unmapped,Eastern Roman Empire,222443.48421755433
Catalan Company,Republic of Venice,222192.2376561165
Portuguese Colonies,Dutch Ceylon,222068.86778259277
Oyo Empire,Sokoto Caliphate,222054.0450744629
Rouran Khaganate,Western Göktürks,221939.90640098602
Khmer Empire,Ayutthaya Kingdom,221739.90402936935
Achaemenid Empire,Kingdom of Bithynia,221451.79296379085
Brythons,Breton Kingdoms,220852.60244750977
Western Roman Empire,Anglo-Saxon England,220762.15545105934
(Chenla),Chenla,220674.39806699753
Kingdom of Jerusalem,Ayyubid Sultanate,219818.73518816382
Caliphate of Córdoba,Taifa of Zaragoza,219273.99268722534
Antigonid Macedonia,Roman Republic,218906.08561538308
Kingdom of Lysimachus,Galatia,218283.58346547186
Stateless & unmapped,Novgorod Republic,218218.54257314734
Janapada of Surasena,Stateless & unmapped,217942.52307128912
Holy Roman Empire,County of Flanders,217892.4489555359
County of Barcelona,Crown of Aragon,216910.83868408203
Zululand,Natalia Republic,216897.85818481445
Janapada of Kāśī,Magadha - Haryanka dynasty,216456.67605590826
Stateless & unmapped,Turks,216322.42151544988
Cretan State,Kingdom of Greece,215608.54377746582
Teotihuacan,Stateless & unmapped,215427.1227722168
Zhou Dynasty,Yan,215390.15024840832
Kievan Rus',Novgorod Republic,215314.8678645119
County of Maine,Angevin Empire,215248.69575500488
Stateless & unmapped,(Chenla),213332.33725357056
Principality of Moldavia,(Habsburg Monarchy),213133.03552627563
Holy Roman Empire,Dauphiné,213021.19051361084
Paramara Dynasty,Stateless & unmapped,212964.946975708
Xiongnu,Southern Xiongnu,212804.40140402317
Lu,Chu,212729.21591186523
Kingdom of Kush,Alodia,212692.83301627636
County of Anjou,Angevin Empire,212640.1317138672
Stateless & unmapped,Sultanate of Banten,212559.02727873623
Iberian Union,Kingdom of Spain,212192.5856399536
Kingdom of France,Kingdom of Arles,211985.41986083984
Safavid Dynasty,Kingdom of Georgia,211523.99558258057
Fatimid Caliphate,Kingdom of Jerusalem,210987.44778854027
Netherlands,Luxembourg,210900.02221679688
Seleucid Empire,Judea,210809.0726299644
Teutonic Order,Duchy of Prussia,210617.57082343474
Duchy of Naples,Kingdom of Sicily,210375.91625976562
Stateless & unmapped,Hunnic Empire,210185.30996847153
Lan Na,Chiangmai,210161.2882270813
Janapada of Vajji,Magadha - Haryanka dynasty,209998.77800903318
Zhao,Qin,209168.6812277793
Principality of Terebovlia,Principality of Halych,207997.83779525757
Kingdom of Georgia,Kingdom of Kakheti,207939.40658569336
Ghana Empire,Mali Empire,207750.6872211583
(Kingdom of England),Duchy of Aquitaine,207614.66566467285
German Empire,Denmark,207531.87747955322
Mitanni,Stateless & unmapped,206916.6198438406
Zhongshan,Wei,206580.9299545288
Spanish Empire,Dominican Republic,206506.72401378304
Stateless & unmapped,Wei,206331.53208694462
Stateless & unmapped,Mauretania,205945.93254623422
Principality of Smolensk,House of Jagiellon,205417.64282989502
Stateless & unmapped,Grand Principality of Moscow,205381.16018570215
Chaulukya Dynasty,(Delhi Sultanate),205217.62150001526
Dutch Cape Coast,British Cape Colony,204784.02844071388
Western Satraps,Stateless & unmapped,204457.48460388184
Stateless & unmapped,Vandals,204189.99671936035
Stateless & unmapped,Portuguese Africa,203851.00452280045
Hunnic Empire,Eastern Roman Empire,203749.61871898174
Mataram Sultanate,Sultan of Yogyakarta,203428.56732177734
Caliphate of Córdoba,Taifa of Dénia,203038.48314666748
Stateless & unmapped,Janapada of Kuru,203027.8569335937
Duchy of Aquitaine,County of Périgord,202937.11796569824
Principality of Serbia,Kingdom of Croatia,202353.27838134766
Nitra,Principality of Hungary,201921.93636322021
Principality of Ryazan,Mongol Empire,200435.94062423706
Kingdom of Israel,Neo-Assyrian Empire,199650.25617883215
Bijapur Sultanate,Portuguese Empire,198882.06774902344
Taifa of Valencia,(Taifas of Iberia),198809.8850685358
United States of America,Republic of Panama,198071.2677078247
Vijayanagara Empire,Bidar Sultanate,197847.80932617188
Kingdom of Cyprus,Republic of Venice,197837.85116577148
Ethiopian Empire,Italian Africa,197562.3658103943
Stateless & unmapped,Kingdom of Spain,196890.14456179948
(Kingdom of England),County of Touraine,196286.37548828125
Stateless & unmapped,Kashmir and Jammu,196260.76021583378
Goguryeo,Unified Silla,196177.85720062256
Turks,Qarlugs,196154.1450232491
Stateless & unmapped,Janapada of Kāśī,195906.99182128903
House of Luxembourg,Duchy of Burgundy,195881.21186065674
County of Nevers,Duchy of Burgundy,195784.21990966797
Roman Republic,Carthage,195255.8313399613
Stateless & unmapped,New France,195020.75968587003
Holy Roman Empire Minor States,Electorate of Saxony,194883.88720703125
Ramadanid Emirate,Ottoman Empire,194537.49793416262
House of Savoy,Kingdom of France,194394.80935668945
Kingdom of Lysimachus,Greek Colonies,193996.24124741554
Stateless & unmapped,Janapada of Vajji,193130.71254882813
Pagan Kingdom,Stateless & unmapped,192621.06655693054
Great Moravia,Nitra,192396.01023101807
Zhao,Zhongshan,192173.64068145753
Portuguese Ceylon,Spanish Empire,192008.73641967773
Principality of Smolensk,Grand Duchy of Lithuania,191947.47650909424
Srivijaya,Malaya,191404.0397028923
Byzantine Empire,Cyprus Condominium,191243.25625610352
Stateless & unmapped,Janapada of Surasena,191201.10937499994
Magyars,Kievan Rus',190781.78740607947
Karkota Dynasty,Umayyad Caliphate,190751.35713014007
Stateless & unmapped,Heian Japan,190591.63229751587
Majapahit,Sultanate of Palembang,190353.0818953514
Principality of Schwarzburg-Sonderhausen,German Empire,190284.01538085938
New Kingdom of Egypt,Kingdom of Israel,190225.65988358855
Kingdom of Imereti,Russian Empire,189473.23863220215
Bahrani Dynasty,Kingdom of Portugal,189323.90420385078
Stateless & unmapped,Morocco,189105.21839940548
Kingdom of Hungary,Banate of Bosnia,189059.12845993042
First Toungoo Empire,Lan Na,188665.27744197845
Kingdom of England,Earldom of Desmond,188613.22494125366
Stateless & unmapped,Canada,188470.75064191222
Sukhothai Kingdom,Lan Xang,188441.11490249634
Swedish Empire,German Confederation,188308.43756866455
Kingdom of Portugal,Stateless & unmapped,188128.19828367606
Abbasid Caliphate,Sajid Dynasty,187784.71732224524
Holy Roman Empire,Patriarchate of Aquileia,187245.1146850586
Kievan Rus',Principality of Pereyaslavl,187243.9543695897
Janapada of Pañcāla,Stateless & unmapped,186502.51811523436
Stateless & unmapped,Teutonic Order,186023.8336287327
Principality of Peremyshl,Principality of Halych,185730.15236663818
Stateless & unmapped,Warring States Japan,185555.98553466797
Kashmir,Chagatai Khanate,184961.62619298697
Mahan,Baekje,184474.60982704163
Khanate of Bukhara,Durrani Empire,184179.58640670776
Yuezhi,Stateless & unmapped,183878.3681436108
Holy Roman Empire Minor States,Saxe-Altenburg,183184.89135742188
Wey,Han Dynasty,183135.0001403809
Duchy of Silesia,(Kingdom of Bohemia),183048.6896057129
Ilkhanate,Beylik of Teke,182966.39524662495
Greek City-States,Peloponnesian League,182555.62111549385
Crown of Aragon,Kingdom of Majorca,182444.24603271484
Yan,Zhao,181939.5414550781
Visigothic Kingdom,Stateless & unmapped,181838.253339231
Bamana Empire,Massina Empire,181068.63721084595
Kingdom of Great Britain,Federated Republic of Germany,181052.875
French India,British Colonial Empire,180823.0029296875
Stateless & unmapped,Mataram Sultanate,180728.10837745667
Emirate of Bukhara,Khanate of Khiva,180463.0514229536
Duchy of Benevento,Norman Italy,180393.65831756592
Taifa of Granada,Almoravid Dynasty,180391.09805297852
Chagatai Khanate,Kazakh Khanate,180313.0211186558
Kingdom of Numidia,Roman Republic,180198.0697468759
Eastern Hungarian Kingdom,Habsburg Monarchy,180161.9440612793
County of Edessa,Ayyubid Sultanate,180120.87384796143
Stateless & unmapped,Sukhothai Kingdom,179676.05235688388
Kingdom of Prussia,Austrian Empire,179397.64111328125
Stateless & unmapped,Crown of Castile,179290.98189926147
Eastern Wei,Stateless & unmapped,178819.24880218506
Injuids,Timurid Empire,178743.2003133148
German Empire,Kingdom of Great Britain,178674.63671875
Eastern Roman Empire,Hunnic Empire,178548.36498832703
Stateless & unmapped,People's Republic of China,178483.42421519756
Lakhmid Kingdom,Rashidun Caliphate,178340.62782239914
Mataram Sultanate,Surakarta Sunanate,178297.63500976562
Kingdom of Mercia,Danelaw,177276.24940490723
Mongol Empire,Sultanate of Rum,177231.14086151123
Kingdom of Georgia,Great Seljuk Empire,176792.5534477234
Tuyuhun,Tibetan Empire,176647.23075497895
Gupta Empire,Kamarupa Kingdom,176516.28209590912
Greek City-States,Macedonian Empire,176227.14982971197
Holy Roman Empire Minor States,(Kingdom of Bohemia),175920.04934310913
Trưng sisters,Han Dynasty,175661.83743453026
Janapada of Vatsa,Magadha - Haryanka dynasty,175606.44564208985
Kingdom of Axum,Stateless & unmapped,175557.02973449603
Stateless & unmapped,Kingdom of Sweden,175521.51755987247
Holy Roman Empire Minor States,(Kalmar Union),174457.49743652344
Stateless & unmapped,Kingdom of Hungary,174300.66323280334
Elam,Babylonia,174040.5213293074
Roman Republic,Stateless & unmapped,173592.0748191929
Morocco,Kingdom of Spain,173036.01928162575
Duchy of Brittany,Kingdom of England,172910.8429031372
Habsburg Monarchy,Principality of Transylvania,172838.47931671143
Ilkhanate,Injuids,172785.09361267835
Montenegro,Kosovo,172589.5013923645
Kingdom of France,Duchy of Burgundy,171946.38271331787
Balinese Kingdom,Bali,171912.90703582764
Ptolemaic Kingdom,Kingdom of Lysimachus,171901.13462142955
Kingdom of Castile,Kingdom of Navarre,171884.26333618164
Ashanti Empire,French Africa,171726.58518981934
Vakataka Kingdom,Western Satraps,171265.08444213867
Caliphate of Córdoba,Taifa of Granada,170727.82485198975
Taifa of Badajoz,Kingdom of Galicia,170706.79413414001
Byzantine Empire,Beylik of Saruhan,170463.22826004028
Southern Xiongnu,Xianbei,170414.78640617058
Holy Roman Empire Minor States,Duchy of Bavaria,170341.8019874096
Western Jin,Goguryeo,170038.01379448175
Georgia,Kingdom of Georgia,169859.63940924406
Han Dynasty,Trưng sisters,169842.86288505793
Sultanate of Bima,Dutch East Indies,169457.46932411194
Kingdom of Sweden,Old Kingdom of Norway,169435.4740649499
Crown of Castile,Spanish Empire,169215.00922816992
French Louisiana,United States of America,169196.86386704445
Republic of Genoa,French Consulate,168679.36867904663
Greek City-States,Kingdom of Pontus,168334.7861862182
Byzantine Empire,Kingdom of Cyprus,168162.1720046997
Caucasian Albania,Sasanian Empire,168142.80607537925
Scandinavian minor kingdoms,Old Kingdom of Norway,168041.5419638902
Kievan Rus',Principality of Smolensk,167977.1828098297
County of Blôis,Kingdom of France,167852.6865386963
Almoravid Dynasty,Kingdom of Castile,167465.4797000885
Electorate of Trier,(Holy Roman Empire),167380.3504333496
Duchies of Poland,Teutonic Order,166781.22502863407
Kingdom of England,Duchy of Brittany,166506.73793792725
Chámpa,Khmer Empire,166407.7499499321
Holy Roman Empire Minor States,Principality of Reuss-Gera,166404.3826904297
House of Valois-Anjou,Duchy of Lorraine,165998.60943603516
Tenochtitlan,Aztec Triple Alliance,165934.5792236328
Bolivia,Republic of Chile,165563.57865393162
Sultanate of Maguindanao,Spanish Empire,165509.38890504837
Greek Colonies,Roman Republic,165507.687612915
Despotate of Epirus,Byzantine Empire,165308.45868873596
Kievan Rus',Principality of Volhynia,165043.84031772614
Eastern Chagatai Khanate,Kazakh Khanate,164293.93095246702
Stateless & unmapped,Safavid Dynasty,163745.84618845582
Stateless & unmapped,Janapada of Pañcāla,163618.77363281252
Duchy of Benevento,Principality of Salerno,163354.13151168823
New Netherland,British Colonial Empire,162648.95985996723
Tahirid Sultanate,Stateless & unmapped,162577.42682743073
Kingdom of Champasak,French Indochina,162447.07431459427
Stateless & unmapped,Toltec,162217.5552368164
Beylik of Teke,Ottoman Empire,162137.15940126777
Bolivia,Brazilian Republic,162124.73761884868
Chámpa,Lê Dynasty,162014.15969729424
Maitraka Dynasty,Stateless & unmapped,161950.4648284912
Stateless & unmapped,Jesuit Reducciones,161634.06999012828
Holy Roman Empire Minor States,Free City of Hamburg,161513.41015625
Kingdom of Majorca,Crown of Aragon,161409.33683013916
Former Yan,Northern Wei,160842.90759682655
Stateless & unmapped,Ganzhou Kingdom,160738.09511949122
Taifa of Zaragoza,Kingdom of Aragon,160721.98068237305
Lan Na,First Toungoo Empire,160431.41161823273
Duchy of Spoleto,Middle Franks,160243.4397125244
Duchy of Courland,Russian Empire,159901.50120735168
(Kingdom of Poland),Duchy of Sandomierz,159761.95431137085
Kampili Kingdom,Vijayanagara Empire,159589.3817138672
Principality of Hohenzollern-Sigmaringen,German Empire,159394.39038085938
Duchy of Benevento,Byzantine Empire,159286.6318206787
Stateless & unmapped,Janapada of Vatsa,158934.94770507808
Hamdanid Emirates,Bahrani Dynasty,158449.82034219056
Beylik of Saruhan,Ottoman Empire,157667.86120986938
Stateless & unmapped,Kingdom of Egypt,157602.84690856934
