year,polity_id,country_iso,population
-2000,Indus Valley Civilization,IND,669837.6858663935
-2000,Indus Valley Civilization,PAK,1405529.9071590074
-2000,Sumerian City-States,IRN,3023.3059674189594
-2000,Sumerian City-States,IRQ,302545.1235436215
-2000,Elam,IRN,197524.29669123943
-2000,Elam,IRQ,83466.8171231145
-2000,Middle Kingdom of Egypt,EGY,1477363.094257839
-1750,Middle Kingdom of Egypt,EGY,1599254.458058122
-1750,Middle Kingdom of Egypt,SDN,16743.02793250355
-1750,Hyksos,EGY,313290.7346271861
-1750,Hyksos,ISR,202543.80630025247
-1750,Hyksos,JOR,6197.011984763124
-1750,Hyksos,LBN,137139.30592517403
-1750,Hyksos,PSE,88532.27186088423
-1750,Hyksos,SYR,42282.77113237698
-1750,Elam,IRN,130987.52712929247
-1750,Assyria,IRQ,67314.43524654504
-1750,Assyria,TUR,283.14119450454035
-1750,Indus Valley Civilization,IND,80890.07502529986
-1750,Indus Valley Civilization,PAK,569227.8845813401
-1750,Babylonia,IRN,120906.44219024586
-1750,Babylonia,IRQ,656816.823244064
-1750,Babylonia,SYR,6169.57928009342
-1500,Elam,IRN,138132.25779771805
-1500,Shang Dynasty,CHN,1211048.615987122
-1500,Hittites,TUR,358384.9308204651
-1500,First Sealand Dynasty,IRN,2256.964699699149
-1500,First Sealand Dynasty,IRQ,35407.43471977731
-1500,First Sealand Dynasty,KWT,7264.651259253554
-1500,Mitanni,IRQ,194907.2979441737
-1500,Mitanni,SYR,501111.6852986633
-1500,Mitanni,TUR,178358.8006960476
-1500,Mycenaean Greece,GRC,366994.3877433762
-1500,Hyksos,ISR,210675.40087769172
-1500,Hyksos,JOR,297051.3270635008
-1500,Hyksos,LBN,133451.85235634903
-1500,Hyksos,PSE,90108.24163237022
-1500,Hyksos,SYR,253938.5813272869
-1500,Assyria,IRN,3263.5843083217505
-1500,Assyria,IRQ,154158.386735265
-1500,Minoan civilization,GRC,33846.5222530365
-1500,New Kingdom of Egypt,EGY,1397642.0166387144
-1500,New Kingdom of Egypt,ISR,4568.056035432059
-1500,New Kingdom of Egypt,PSE,89.47810754994548
-1500,New Kingdom of Egypt,SDN,341809.89919802226
-1500,Babylonia,IRN,149228.74398916078
-1500,Babylonia,IRQ,466281.4248922854
-1250,Shang Dynasty,CHN,1211048.615987122
-1250,Mycenaean Greece,GRC,527598.3904441409
-1250,Mitanni,SYR,137588.69057193972
-1250,Mitanni,TUR,71381.07446285509
-1250,Hittites,LBN,164.824761218909
-1250,Hittites,SYR,175427.89224031643
-1250,Hittites,TUR,1772006.7238881958
-1250,Assyria,IRN,1332.6759420284534
-1250,Assyria,IRQ,437393.39195737254
-1250,Assyria,SYR,153259.6900910024
-1250,Assyria,TUR,4359.185965971661
-1250,Elam,IRN,144782.91274392605
-1250,Babylonia,IRN,185531.27138070014
-1250,Babylonia,IRQ,497253.0147303105
-1250,Babylonia,KWT,21182.2309521898
