polity_id,year,urban_pop
(Kingdom of the Franks),550,30535.714285714283
(Kingdom of the Franks),600,62948.15256257449
(Kingdom of the Franks),700,47133.52902065441
(Kingdom of the Franks),750,47836.11442193087
(Kingdom of the Franks),800,152357.14285714284
(Macedonian Empire),-320,269139.06447534764
(Macedonian Empire),-300,62121.21212121212
(Mahajanapadas),-500,100000.0
(Mahajanapadas),-400,386922.38386510167
(Merovingian Empire),500,42133.676092544985
(Merovingian Empire),600,20444.444444444445
(Merovingian Empire),700,60650.793650793654
(Netherlands),1850,652737.5254237289
(Netherlands),1900,1687000.0
(Netherlands),1950,1441000.0
(Polish-Lithuania Kingdom),1400,108124.70605260301
(Portuguese Empire),1550,236730.60350101753
(Portuguese Empire),1600,28827.838827838827
(Portuguese Empire),1650,319063.7086903305
(Portuguese Empire),1700,260269.54055587068
(Portuguese Empire),1750,331395.65483476134
(Portuguese Empire),1800,489818.7251082251
(Russian Federation),2000,14027000.0
(Russian Federation),2015,8297000.0
(Spanish Empire),1550,1141369.9265725957
(Spanish Empire),1600,1610078.896706056
(Spanish Empire),1650,1477709.5042080216
(Spanish Empire),1700,781625.9109275142
(Spanish Empire),1750,1694162.810656217
(Spanish Empire),1800,1024798.2302467542
(Spanish Empire),1850,1362809.4787409701
(Spanish Empire),1900,921686.6825396826
(Spring and Autumn States),-750,315290.3548225887
(Spring and Autumn States),-700,540532.7336331834
(Spring and Autumn States),-650,615775.1124437781
(Spring and Autumn States),-600,691169.0064058879
(Spring and Autumn States),-550,766562.9003679978
(Spring and Autumn States),-500,1141956.7943301077
(Taifas of Iberia),1050,342177.4426622493
(Taifas of Iberia),1100,27000.0
(Taifas of Iberia),1150,76571.42857142858
(Warring States China),-450,882350.6882922176
(Warring States China),-400,1185367.9745493107
(Warring States China),-350,1590331.862893387
(Warring States China),-325,1885986.970483716
(Warring States China),-320,1900117.9920017817
(Warring States China),-300,2056642.078074045
(Warring States China),-250,1289063.404365814
Abbasid Caliphate,750,259662.00191870064
Abbasid Caliphate,800,4535471.683712129
Abbasid Caliphate,850,4650314.405133351
Abbasid Caliphate,900,3021449.592490577
Abbasid Caliphate,950,1242807.8890336931
Abbasid Caliphate,1250,318232.84147718106
Abbasid Caliphate/Buyid Dynasty,950,2460428.516399212
Achaean League,-200,56060.606060606064
Achaean League,-150,53030.303030303025
Achaemenid Empire,-550,93181.81818181818
